CYP24A1	ZNF217
CYP24A1	CYP1B1
CYP24A1	CYP19A1
CYP24A1	TLR1
CYP24A1	CA4
CYP24A1	CA9
CYP24A1	CA3
CYP24A1	CA2
CYP24A1	CA6
CYP24A1	CA7
CYP24A1	CA5A
CYP24A1	CA14
CYP24A1	CA5B
CYP24A1	CA1
AURKA	SPDL1
AURKA	BLM
AURKA	PTP4A3
AURKA	MAP1LC3A
AURKA	ZBTB16
AURKA	CSNK2A1
AURKA	MAPT
AURKA	ZNF217
AURKA	PSMC3
AURKA	HIF1A
AURKA	PSMB1
AURKA	FLT3
AURKA	PKMYT1
AURKA	EGFR
AURKA	AR
AURKA	TUBB
AURKA	PIK3CA
AURKA	PSRC1
AURKA	TYR
AURKA	PSMB5
AURKA	NSD2
AURKA	CDK6
AURKA	PARP1
AURKA	MCL1
AURKA	ANAPC1
AURKA	AKT1
AURKA	BCL2
AURKA	HSPA4
AURKA	CDK4
AURKA	CTNNB1
AURKA	ESR1
AURKA	GSK3B
AURKA	NFKB1
AURKA	NEK2
AURKA	CDK2
AURKA	MYC
AURKA	AURKB
AURKA	HDAC6
AURKA	CDK1
AURKA	CKAP5
AURKA	INCENP
AURKA	PLK1
AURKA	TP53
PROCR	IL6
PROCR	PLG
PROCR	TEK
PROCR	MMP1
PROCR	SELE
PROCR	F8
PROCR	ANGPT1
PROCR	SELP
PROCR	CRP
PROCR	F9
PROCR	PLAT
PROCR	SERPINE1
PROCR	VWF
PROCR	F2RL1
PROCR	SERPINC1
PROCR	F2
PROCR	PROS1
PROCR	TFPI
PROCR	F7
PROCR	F10
PROCR	PROC
PROCR	THBD
TUBB1	WWOX
TUBB1	GP6
TUBB1	ALOX12
TUBB1	TUBB8
TUBB1	TUBB4A
TUBB1	TUBB6
TUBB1	RGS18
TUBB1	TUBB4B
TUBB1	TUBB2A
TUBB1	JAK2
TUBB1	TUBB2B
TUBB1	TUBB3
TUBB1	CKAP5
TUBB1	ELANE
TUBB1	TUBA3C
TUBB1	MAPT
TUBB1	TUBA1C
TUBB1	TUBA3E
TUBB1	TUBA1A
TUBB1	TUBA4A
TUBB1	TUBA1B
CSNK2A1	ELAVL1
CSNK2A1	GRIN2B
CSNK2A1	HSP90B1
CSNK2A1	HIF1A
CSNK2A1	CYP19A1
