gene,max_assoc_score,top_disease
KLK3,0.00832,pulmonary embolism
LGALS3BP,0.0083,venous thromboembolism
PSMA6,0.00826,thrombophilia
HLA-DPB1,0.0082,deep vein thrombosis
CX3CL1,0.0082,deep vein thrombosis
CXCR1,0.0082,deep vein thrombosis
ADA,0.00819,deep vein thrombosis
CYP4F2,0.00819,venous thromboembolism
CLIC1,0.00813,deep vein thrombosis
CD74,0.00813,deep vein thrombosis
NR4A1,0.00813,thrombophilia
TNFRSF25,0.00813,venous thromboembolism
TNFSF15,0.00813,venous thromboembolism
BAAT,0.00813,thrombotic disease
SRC,0.00811,deep vein thrombosis
SMN2,0.00808,thrombophilia
HLA-DQB1,0.00801,thrombophilia
BLOC1S2,0.00795,deep vein thrombosis
P2RX7,0.00795,deep vein thrombosis
G6PD,0.00795,deep vein thrombosis
BSG,0.00795,pulmonary embolism
CYP3A5,0.00795,venous thromboembolism
BMP1,0.00795,pulmonary embolism
C1R,0.00795,pulmonary embolism
PTPA,0.00793,deep vein thrombosis
NOX1,0.00793,deep vein thrombosis
MRPL37,0.00793,venous thromboembolism
BRCA2,0.00793,thrombophilia
FBL,0.00792,thrombophilia
ITGAX,0.00782,deep vein thrombosis
IL23A,0.00776,deep vein thrombosis
DAB2,0.00776,deep vein thrombosis
TREM1,0.00776,deep vein thrombosis
NFKBIL1,0.00776,deep vein thrombosis
CFHR5,0.00776,venous thromboembolism
NRAS,0.00776,venous thromboembolism
PRKN,0.00776,venous thromboembolism
RAN,0.00776,venous thromboembolism
ADGRB3,0.00776,venous thromboembolism
FAP,0.00776,deep vein thrombosis
LTA,0.00764,deep vein thrombosis
PRTN3,0.00761,deep vein thrombosis
BAX,0.0076,deep vein thrombosis
BIRC5,0.00758,thrombophilia
MUC16,0.00754,thrombophilia
CNTNAP2,0.00741,thrombophilia
S100A1,0.00739,deep vein thrombosis
CCDC3,0.00739,deep vein thrombosis
PNPLA2,0.00739,deep vein thrombosis
LGMN,0.00739,deep vein thrombosis
FGR,0.00739,deep vein thrombosis
JAM2,0.00739,deep vein thrombosis
DACH1,0.00739,deep vein thrombosis
CD38,0.00739,deep vein thrombosis
HCK,0.00739,deep vein thrombosis
VHL,0.00739,deep vein thrombosis
ITPR1,0.00739,deep vein thrombosis
MSLN,0.00739,deep vein thrombosis
SPINK4,0.00739,deep vein thrombosis
AQP1,0.00739,deep vein thrombosis
SLC7A11,0.00739,deep vein thrombosis
CD200,0.00739,deep vein thrombosis
BAD,0.00739,deep vein thrombosis
IL3,0.00739,deep vein thrombosis
FHL2,0.00739,deep vein thrombosis
BRSK2,0.00739,deep vein thrombosis
USP15,0.00739,deep vein thrombosis
CDC42,0.00739,deep vein thrombosis
MARK2,0.00739,deep vein thrombosis
ANGPTL3,0.00739,deep vein thrombosis
MAP3K13,0.00739,deep vein thrombosis
AQP3,0.00739,deep vein thrombosis
GDI1,0.00739,deep vein thrombosis
EEF2,0.00739,deep vein thrombosis
C7,0.00739,deep vein thrombosis
MTUS2,0.00739,deep vein thrombosis
HK3,0.00739,deep vein thrombosis
BRD4,0.00739,deep vein thrombosis
GCK,0.00739,deep vein thrombosis
SLC9C1,0.00739,deep vein thrombosis
CD47,0.00739,deep vein thrombosis
RMND5A,0.00739,deep vein thrombosis
GSK3A,0.00739,deep vein thrombosis
IL7,0.00739,deep vein thrombosis
PMCH,0.00739,deep vein thrombosis
AOC1,0.00739,deep vein thrombosis
P2RY2,0.00739,deep vein thrombosis
PIGM,0.00739,deep vein thrombosis
PNPLA8,0.00739,deep vein thrombosis
REG4,0.00739,deep vein thrombosis
CDKN1A,0.00739,deep vein thrombosis
ARF6,0.00739,deep vein thrombosis
DOCK8,0.00739,deep vein thrombosis
PEX1,0.00739,deep vein thrombosis
UST,0.00739,deep vein thrombosis
VIPR1,0.00739,deep vein thrombosis
FAR1,0.00739,deep vein thrombosis
TMOD3,0.00739,deep vein thrombosis
MACROH2A1,0.00739,deep vein thrombosis
NPC1L1,0.00739,deep vein thrombosis
C8B,0.00739,deep vein thrombosis
LATS1,0.00739,deep vein thrombosis
ITGAL,0.00739,thrombotic disease
SNAP23,0.00739,thrombotic disease
HPX,0.00739,venous thromboembolism
VAMP3,0.00739,thrombotic disease
XDH,0.00739,thrombotic disease
CAMP,0.00739,thrombophilia
DNMT1,0.00739,thrombotic disease
RPLP0,0.00739,venous thromboembolism
VEGFD,0.00739,venous thromboembolism
PTGDS,0.00739,pulmonary embolism
CHMP5,0.00739,pulmonary embolism
AOPEP,0.00739,pulmonary embolism
HFE,0.00739,venous thromboembolism
PLXNA3,0.00739,venous thromboembolism
CFLAR,0.00739,thrombophilia
NOX4,0.00739,pulmonary embolism
BECN1,0.00739,pulmonary embolism
RPS15A,0.00739,venous thromboembolism
COX7B,0.00739,venous thromboembolism
KDM5B,0.00739,venous thromboembolism
CETP,0.00739,venous thromboembolism
WEE1,0.00739,venous thromboembolism
AGRN,0.00739,venous thromboembolism
RPL27,0.00739,venous thromboembolism
RPS24,0.00739,venous thromboembolism
ORM1,0.00739,venous thromboembolism
XPO5,0.00739,venous thromboembolism
RIMS1,0.00739,venous thromboembolism
RPL34,0.00739,venous thromboembolism
FAU,0.00739,venous thromboembolism
RPL31,0.00739,venous thromboembolism
FAM215A,0.00739,venous thromboembolism
RPS29,0.00739,venous thromboembolism
TMEM132A,0.00739,venous thromboembolism
RPS27L,0.00739,venous thromboembolism
LDLRAD4,0.00739,venous thromboembolism
ADAMDEC1,0.00739,venous thromboembolism
PLA2G2A,0.00739,thrombophilia
CDK1,0.00739,thrombophilia
HLA-DQA1,0.00739,thrombophilia
NTRK1,0.00739,thrombophilia
TMEM109,0.00739,thrombophilia
NTAN1,0.00739,thrombotic disease
CARD9,0.00739,pulmonary embolism
CTSS,0.00739,thrombotic disease
NQO1,0.00739,pulmonary embolism
RARRES2,0.00739,thrombotic disease
PSMD1,0.00739,pulmonary embolism
KIF2C,0.00739,pulmonary embolism
TOMM40,0.00739,pulmonary embolism
PLCB3,0.00739,pulmonary embolism
PDCD4,0.00739,pulmonary embolism
IFT74,0.00739,pulmonary embolism
ARG2,0.00739,pulmonary embolism
HTR5A,0.00739,pulmonary embolism
MYOM2,0.00737,deep vein thrombosis
HSF2,0.00721,deep vein thrombosis
FOXC2,0.00721,deep vein thrombosis
CCL7,0.00721,deep vein thrombosis
CFB,0.00702,deep vein thrombosis
CHGA,0.00702,deep vein thrombosis
CR1,0.00702,deep vein thrombosis
LDHC,0.00691,pulmonary embolism
NDRG1,0.00665,deep vein thrombosis
KCNIP3,0.00665,deep vein thrombosis
DUSP14,0.00665,deep vein thrombosis
ABLIM1,0.00665,deep vein thrombosis
RPA1,0.00665,deep vein thrombosis
MAOA,0.00665,deep vein thrombosis
GOT2,0.00665,deep vein thrombosis
ABCG1,0.00665,deep vein thrombosis
CCL4,0.00665,deep vein thrombosis
SIRT5,0.00665,deep vein thrombosis
CAD,0.00665,deep vein thrombosis
PPP1R3A,0.00665,deep vein thrombosis
KIF5B,0.00665,deep vein thrombosis
PLA2G7,0.00665,venous thromboembolism
PTPN22,0.00665,thrombophilia
MMP7,0.00665,pulmonary embolism
CTSD,0.00665,pulmonary embolism
GATA2,0.00663,pulmonary embolism
RHD,0.00651,thrombophilia
PTPRB,0.00647,venous thromboembolism
DYSF,0.00632,thrombophilia
APOA5,0.00631,thrombophilia
UCP2,0.00631,thrombophilia
CD320,0.00631,thrombophilia
ENPP2,0.00628,thrombotic disease
CD63,0.00627,deep vein thrombosis
ABCB1,0.00627,deep vein thrombosis
AMH,0.00626,thrombophilia
PRKCA,0.00625,deep vein thrombosis
BRD2,0.00621,thrombophilia
CLDN5,0.0061,deep vein thrombosis
CD244,0.0061,thrombophilia
SERPINF2,0.00609,deep vein thrombosis
CFI,0.00608,thrombophilia
HPGDS,0.00608,thrombophilia
SERPINA3,0.00607,deep vein thrombosis
DGKE,0.00599,thrombophilia
LRRC8A,0.00597,deep vein thrombosis
IL31RA,0.00593,deep vein thrombosis
ENPEP,0.00592,deep vein thrombosis
TSPAN18,0.00591,deep vein thrombosis
MYCBP2,0.00591,deep vein thrombosis
SGK1,0.00591,deep vein thrombosis
CCR1,0.00591,deep vein thrombosis
MYL6,0.00591,deep vein thrombosis
SOCS3,0.00591,deep vein thrombosis
CCL22,0.00591,deep vein thrombosis
TNFRSF12A,0.00591,deep vein thrombosis
PARP9,0.00591,deep vein thrombosis
NUDT1,0.00591,deep vein thrombosis
AICDA,0.00591,deep vein thrombosis
MMP8,0.00591,pulmonary embolism
DDAH1,0.00591,thrombotic disease
ACTA2,0.00591,thrombotic disease
CD52,0.00591,thrombophilia
CDK5,0.00591,thrombophilia
PPP1R13L,0.00591,thrombotic disease
SLC12A4,0.00591,thrombotic disease
GLS,0.00591,thrombotic disease
PGM3,0.00591,thrombotic disease
ADAR,0.00591,thrombotic disease
TPP2,0.00591,thrombotic disease
MMP17,0.00591,pulmonary embolism
TIMP1,0.00579,deep vein thrombosis
FUT4,0.00574,deep vein thrombosis
ANG,0.00574,deep vein thrombosis
MAPK14,0.00573,deep vein thrombosis
MATN1,0.00571,thrombophilia
PRKCB,0.00561,deep vein thrombosis
TRPC6,0.00561,thrombotic disease
PTPRC,0.00556,thrombophilia
IL15,0.00554,thrombophilia
ESAM,0.00554,deep vein thrombosis
PLCB4,0.00554,deep vein thrombosis
EDNRA,0.00554,deep vein thrombosis
GAS5,0.00554,deep vein thrombosis
GP2,0.00554,thrombophilia
IFIH1,0.00554,thrombophilia
CYP17A1,0.00554,thrombophilia
PARK7,0.00554,thrombophilia
QDPR,0.00554,thrombophilia
PAH,0.00554,thrombophilia
LCK,0.00554,thrombophilia
PLCG1,0.00554,thrombophilia
EIF2AK4,0.00554,thrombophilia
EHHADH,0.00554,thrombophilia
SGCG,0.00553,thrombophilia
ART4,0.00546,thrombophilia
AGTR2,0.00536,deep vein thrombosis
GAPDH,0.00536,deep vein thrombosis
WT1,0.00536,deep vein thrombosis
SMPD1,0.00536,deep vein thrombosis
AGER,0.00534,deep vein thrombosis
GPX3,0.00534,deep vein thrombosis
SLC2A1,0.00533,deep vein thrombosis
BCAM,0.00531,deep vein thrombosis
CD2,0.00524,deep vein thrombosis
RELN,0.00524,deep vein thrombosis
MLH1,0.00523,thrombophilia
IL2RB,0.00517,deep vein thrombosis
TJP1,0.00517,deep vein thrombosis
GAA,0.00517,deep vein thrombosis
MYH6,0.00517,deep vein thrombosis
HMGA2,0.00517,deep vein thrombosis
KCNH2,0.00517,deep vein thrombosis
ITGA8,0.00517,deep vein thrombosis
CIITA,0.00517,deep vein thrombosis
LDHB,0.00517,deep vein thrombosis
PRKD3,0.00517,deep vein thrombosis
CCL19,0.00517,deep vein thrombosis
ITGAV,0.00517,deep vein thrombosis
LGALS1,0.00517,deep vein thrombosis
BIRC3,0.00517,deep vein thrombosis
CACNA1H,0.00517,deep vein thrombosis
CXCL2,0.00517,deep vein thrombosis
IL6ST,0.00517,deep vein thrombosis
SGMS2,0.00517,thrombotic disease
RGS16,0.00517,thrombotic disease
XRCC5,0.00517,pulmonary embolism
NAT2,0.00517,pulmonary embolism
KCNF1,0.00517,thrombophilia
LY6D,0.00517,thrombophilia
SLC25A16,0.00517,thrombophilia
RGS10,0.00517,thrombophilia
CSF3R,0.00517,thrombotic disease
XRCC4,0.00517,pulmonary embolism
MEFV,0.00515,deep vein thrombosis
SPHK2,0.00515,deep vein thrombosis
CFHR1,0.00509,thrombophilia
PTK2,0.00503,thrombophilia
TEK,0.00502,deep vein thrombosis
ALDH7A1,0.005,thrombophilia
STAR,0.005,thrombophilia
PPRC1,0.005,thrombophilia
WNK3,0.005,thrombophilia
KITLG,0.00499,deep vein thrombosis
CERK,0.00499,deep vein thrombosis
PACRG,0.00499,deep vein thrombosis
TERT,0.00499,deep vein thrombosis
PRKCD,0.00499,deep vein thrombosis
JUP,0.00499,deep vein thrombosis
CFP,0.00499,thrombophilia
UCN,0.00499,thrombophilia
TLN1,0.00499,thrombotic disease
NEFL,0.00499,thrombotic disease
RNASE1,0.00497,deep vein thrombosis
WNK2,0.00496,deep vein thrombosis
MKI67,0.00487,deep vein thrombosis
TNFRSF11B,0.0048,deep vein thrombosis
RHOA,0.0048,deep vein thrombosis
PDLIM1,0.0048,deep vein thrombosis
RAG1,0.0048,deep vein thrombosis
MET,0.00477,venous thromboembolism
VIM,0.00476,deep vein thrombosis
TBXAS1,0.00476,thrombotic disease
MSH6,0.00472,thrombophilia
OCA2,0.00469,deep vein thrombosis
SMN1,0.00469,deep vein thrombosis
TXN,0.00462,thrombophilia
CNP,0.00462,thrombophilia
EPC1,0.00462,thrombophilia
CYP21A2,0.00462,thrombophilia
AIF1,0.00462,thrombophilia
SPRR2A,0.00462,thrombophilia
PDHX,0.00462,thrombophilia
ACOX2,0.00462,thrombophilia
GPR101,0.00462,thrombophilia
MSN,0.00462,thrombophilia
ZAP70,0.00462,thrombophilia
BANK1,0.00462,thrombophilia
SCAF8,0.00462,thrombophilia
NAA15,0.00462,thrombophilia
SLC25A10,0.00462,thrombophilia
GGCT,0.00462,thrombophilia
C1QTNF6,0.00462,thrombophilia
MUSK,0.00462,pulmonary embolism
CDKN2A,0.0046,deep vein thrombosis
CPB1,0.00443,pulmonary embolism
STK11,0.00443,venous thromboembolism
NPR2,0.00443,deep vein thrombosis
TXNDC5,0.00443,deep vein thrombosis
IL1RAP,0.00443,deep vein thrombosis
RPTOR,0.00443,deep vein thrombosis
ENPP7,0.00443,deep vein thrombosis
CAST,0.00443,deep vein thrombosis
SCG2,0.00443,deep vein thrombosis
NEDD8,0.00443,deep vein thrombosis
PDGFD,0.00443,deep vein thrombosis
U2AF1,0.00443,deep vein thrombosis
MFN2,0.00443,deep vein thrombosis
PMVK,0.00443,deep vein thrombosis
CARNMT1,0.00443,deep vein thrombosis
CHD1L,0.00443,deep vein thrombosis
RO60,0.00443,deep vein thrombosis
BGLAP,0.00443,deep vein thrombosis
FCGR1A,0.00443,deep vein thrombosis
NF1,0.00443,deep vein thrombosis
SMOX,0.00443,deep vein thrombosis
SPRED1,0.00443,deep vein thrombosis
BCL2L1,0.00443,deep vein thrombosis
VAMP8,0.00443,deep vein thrombosis
SNHG12,0.00443,deep vein thrombosis
SRSF2,0.00443,deep vein thrombosis
HAO1,0.00443,deep vein thrombosis
LRP12,0.00443,deep vein thrombosis
ROCK1,0.00443,thrombotic disease
PTAFR,0.00443,thrombotic disease
GPX1,0.00443,thrombotic disease
SGCB,0.00443,pulmonary embolism
UBASH3B,0.00443,thrombotic disease
RNASE3,0.00443,pulmonary embolism
STAT4,0.00443,venous thromboembolism
NDUFA6,0.00443,venous thromboembolism
NDUFA7,0.00443,venous thromboembolism
EML4,0.00443,venous thromboembolism
MITD1,0.00443,venous thromboembolism
SERPINA7,0.00443,thrombophilia
HRAS,0.00443,thrombophilia
CD248,0.00443,thrombophilia
TSHR,0.00443,thrombophilia
PRR3,0.00443,thrombophilia
HBA1,0.00443,thrombophilia
PRNP,0.00443,thrombophilia
GZMA,0.00443,thrombophilia
GOT1,0.00443,thrombotic disease
EPX,0.00443,pulmonary embolism
RNASE2,0.00443,pulmonary embolism
PRKCE,0.00443,thrombotic disease
GRB2,0.00443,thrombotic disease
GRP,0.00443,pulmonary embolism
PDK1,0.00443,pulmonary embolism
SLC2A3,0.00443,pulmonary embolism
ATG2B,0.00441,deep vein thrombosis
GRIA1,0.00425,deep vein thrombosis
GP1BB,0.00425,deep vein thrombosis
WDR81,0.00425,deep vein thrombosis
PIK3CB,0.00425,deep vein thrombosis
IL4R,0.00425,deep vein thrombosis
CYP1A2,0.00425,deep vein thrombosis
IGF1R,0.00425,deep vein thrombosis
ROCK2,0.00425,thrombotic disease
BCHE,0.00425,pulmonary embolism
DICER1,0.00425,pulmonary embolism
JAG1,0.00425,thrombophilia
LTC4S,0.00425,venous thromboembolism
CD19,0.00423,venous thromboembolism
STX1A,0.00423,thrombophilia
GHR,0.00418,thrombophilia
RIPK1,0.00407,deep vein thrombosis
MBTPS1,0.00407,deep vein thrombosis
FLNA,0.00407,deep vein thrombosis
GP9,0.00407,deep vein thrombosis
IKZF3,0.00407,deep vein thrombosis
KLF2,0.00407,deep vein thrombosis
PXN,0.00407,deep vein thrombosis
TMPRSS2,0.00407,pulmonary embolism
HIVEP1,0.00407,venous thromboembolism
MBOAT7,0.00407,venous thromboembolism
CALCA,0.00407,pulmonary embolism
ACACA,0.00407,thrombotic disease
TNS3,0.00403,deep vein thrombosis
CDX2,0.00395,thrombophilia
CACNA1A,0.0037,deep vein thrombosis
HORMAD2,0.0037,deep vein thrombosis
SLC25A3,0.0037,deep vein thrombosis
CISH,0.0037,deep vein thrombosis
SLC22A4,0.0037,deep vein thrombosis
ERAS,0.0037,deep vein thrombosis
GRK2,0.0037,deep vein thrombosis
EPS8,0.0037,deep vein thrombosis
CHRM1,0.0037,deep vein thrombosis
TRMT61A,0.0037,deep vein thrombosis
PGK1,0.0037,deep vein thrombosis
CERS6,0.0037,deep vein thrombosis
LAP3,0.0037,deep vein thrombosis
MINPP1,0.0037,deep vein thrombosis
CTTN,0.0037,deep vein thrombosis
EFHD2,0.0037,deep vein thrombosis
GNAI2,0.0037,deep vein thrombosis
JUNB,0.0037,deep vein thrombosis
NR5A1,0.0037,deep vein thrombosis
ARHGEF12,0.0037,deep vein thrombosis
PDCD6IP,0.0037,deep vein thrombosis
MAGEA3,0.0037,deep vein thrombosis
RIPPLY3,0.0037,deep vein thrombosis
GOLM1,0.0037,deep vein thrombosis
PRAL,0.0037,deep vein thrombosis
UBA52,0.0037,deep vein thrombosis
RAB5B,0.0037,deep vein thrombosis
RSAD2,0.0037,deep vein thrombosis
TLE1,0.0037,deep vein thrombosis
IRF7,0.0037,deep vein thrombosis
HIC2,0.0037,deep vein thrombosis
IER3,0.0037,deep vein thrombosis
SRGN,0.0037,deep vein thrombosis
CASP7,0.0037,deep vein thrombosis
SH3BP5,0.0037,deep vein thrombosis
IFNA4,0.0037,deep vein thrombosis
CXCL3,0.0037,deep vein thrombosis
CD81,0.0037,deep vein thrombosis
HIGD1A,0.0037,deep vein thrombosis
SDCBP,0.0037,deep vein thrombosis
MIR5683,0.0037,deep vein thrombosis
TNC,0.0037,deep vein thrombosis
DRC11,0.0037,deep vein thrombosis
PRXL2C,0.0037,deep vein thrombosis
SYP,0.0037,deep vein thrombosis
CSF1,0.0037,deep vein thrombosis
MEF2C,0.0037,deep vein thrombosis
IGHV4-39,0.0037,deep vein thrombosis
MAGEB16,0.0037,deep vein thrombosis
IFI44,0.0037,deep vein thrombosis
IFIT1,0.0037,deep vein thrombosis
TBP,0.0037,deep vein thrombosis
DCBLD2,0.0037,deep vein thrombosis
RNASEH2C,0.0037,deep vein thrombosis
MPRIP,0.0037,deep vein thrombosis
PRDX5,0.0037,deep vein thrombosis
VAV1,0.0037,deep vein thrombosis
CCDC169,0.0037,deep vein thrombosis
NUCLEOLIN,0.0037,deep vein thrombosis
C1QA,0.0037,deep vein thrombosis
PDK4,0.0037,deep vein thrombosis
ERH,0.0037,deep vein thrombosis
TGM4,0.0037,deep vein thrombosis
OAS1,0.0037,deep vein thrombosis
ADGRG1,0.0037,deep vein thrombosis
RBM3,0.0037,deep vein thrombosis
CRELD1,0.0037,deep vein thrombosis
KCNH8,0.0037,deep vein thrombosis
VSIR,0.0037,deep vein thrombosis
ACTN1,0.0037,deep vein thrombosis
MX1,0.0037,deep vein thrombosis
TPM4,0.0037,deep vein thrombosis
CDC45,0.0037,deep vein thrombosis
IRS1,0.0037,deep vein thrombosis
UGP2,0.0037,deep vein thrombosis
PTPN11,0.0037,deep vein thrombosis
PLA2G6,0.0037,deep vein thrombosis
ENO1,0.0037,deep vein thrombosis
MASTL,0.0037,deep vein thrombosis
BPI,0.0037,deep vein thrombosis
ITGA6,0.0037,deep vein thrombosis
CRYGN,0.0037,deep vein thrombosis
RUNX2,0.0037,deep vein thrombosis
GLA,0.0037,deep vein thrombosis
CD33,0.0037,deep vein thrombosis
VPS29,0.0037,deep vein thrombosis
IGFBP1,0.0037,deep vein thrombosis
ARL11,0.0037,deep vein thrombosis
IGFALS,0.0037,deep vein thrombosis
CAPN1,0.0037,deep vein thrombosis
HLA-C,0.0037,deep vein thrombosis
SP2,0.0037,deep vein thrombosis
SPAG6,0.0037,deep vein thrombosis
YWHAQ,0.0037,deep vein thrombosis
MCTS1,0.0037,deep vein thrombosis
CBLB,0.0037,deep vein thrombosis
AGPS,0.0037,deep vein thrombosis
LCP2,0.0037,deep vein thrombosis
SDC4,0.0037,deep vein thrombosis
CS,0.0037,thrombophilia
G3BP1,0.0037,venous thromboembolism
DES,0.0037,thrombotic disease
PHF12,0.0037,thrombophilia
HAVCR2,0.0037,thrombophilia
MGMT,0.0037,pulmonary embolism
ITPR3,0.0037,venous thromboembolism
CTNNB1,0.0037,venous thromboembolism
STAT1,0.0037,pulmonary embolism
MMP11,0.0037,thrombophilia
PMM2,0.0037,pulmonary embolism
CXCL1,0.0037,thrombophilia
IKBKG,0.0037,thrombophilia
NPTXR,0.0037,pulmonary embolism
IL13RA1,0.0037,thrombotic disease
SCFD1,0.0037,venous thromboembolism
NHLH1,0.0037,venous thromboembolism
RPL5P26,0.0037,venous thromboembolism
SPTLC3,0.0037,venous thromboembolism
CTCF,0.0037,venous thromboembolism
GALNT16,0.0037,venous thromboembolism
LAMTOR4,0.0037,venous thromboembolism
LINC00877,0.0037,venous thromboembolism
GLTPD2,0.0037,venous thromboembolism
VSIG10,0.0037,venous thromboembolism
CDKN2B,0.0037,venous thromboembolism
TIRAP,0.0037,venous thromboembolism
GNRH2,0.0037,thrombophilia
ATF4,0.0037,thrombophilia
LAG3,0.0037,thrombophilia
NR2F1,0.0037,thrombophilia
ICAM2,0.0037,thrombophilia
POR,0.0037,thrombophilia
TSPYL1,0.0037,thrombophilia
CCNE1,0.0037,thrombophilia
CXCL13,0.0037,thrombophilia
TACR1,0.0037,thrombophilia
ACAT1,0.0037,thrombophilia
C1QB,0.0037,thrombophilia
GIGYF1,0.0037,thrombophilia
FANCC,0.0037,thrombophilia
CNTN1,0.0037,thrombophilia
SRD5A2,0.0037,thrombophilia
GIGYF2,0.0037,thrombophilia
PSMB5,0.0037,thrombophilia
CD209,0.0037,thrombotic disease
WIPF1,0.0037,thrombotic disease
SCN9A,0.0037,thrombotic disease
SFRP1,0.0037,thrombotic disease
MARK1,0.0037,thrombotic disease
CYP8B1,0.0037,pulmonary embolism
IL5RA,0.0037,pulmonary embolism
OPA3,0.0037,pulmonary embolism
CHRNA7,0.0037,pulmonary embolism
DDX41,0.0037,pulmonary embolism
PPM1D,0.0037,pulmonary embolism
THY1,0.0037,pulmonary embolism
HTRA1,0.0037,pulmonary embolism
CLDN18,0.0037,pulmonary embolism
GALT,0.0037,pulmonary embolism
COG5,0.0037,pulmonary embolism
LRRTM4,0.0037,pulmonary embolism
PIK3CD,0.0037,thrombotic disease
SLC6A4,0.0037,venous thromboembolism
IL11RA,0.0037,venous thromboembolism
PIK3CG,0.0037,thrombotic disease
PIK3R5,0.0037,thrombotic disease
PIK3R3,0.0037,thrombotic disease
AZU1,0.00351,deep vein thrombosis
CTSK,0.00351,deep vein thrombosis
TNFRSF13C,0.00351,thrombophilia
MAG,0.00349,thrombophilia
RELA,0.00333,deep vein thrombosis
BLMH,0.00333,deep vein thrombosis
PDIA2,0.00333,deep vein thrombosis
EGLN1,0.00333,deep vein thrombosis
ACTB,0.00333,thrombophilia
CSN1S1,0.00333,thrombophilia
DAB2IP,0.00333,pulmonary embolism
MAS1L,0.00333,pulmonary embolism
CYP4F3,0.00331,thrombophilia
PMS2,0.00331,thrombophilia
WRN,0.00331,thrombophilia
MSH2,0.00326,thrombophilia
GAN,0.00325,thrombophilia
SLAMF1,0.00316,thrombophilia
CASP3,0.00309,thrombophilia
SH2D1A,0.00303,thrombophilia
CYP2D6,0.00303,thrombophilia
PTK2B,0.00302,deep vein thrombosis
MFGE8,0.00302,thrombophilia
GC,0.00296,deep vein thrombosis
MED1,0.00296,deep vein thrombosis
PDP1,0.00296,deep vein thrombosis
SLC5A7,0.00296,deep vein thrombosis
PRCP,0.00296,deep vein thrombosis
JTB,0.00296,deep vein thrombosis
SERPINB4,0.00296,deep vein thrombosis
STAT5B,0.00296,deep vein thrombosis
IFNA17,0.00296,deep vein thrombosis
VDAC1,0.00296,deep vein thrombosis
APEX1,0.00296,deep vein thrombosis
FABP4,0.00296,deep vein thrombosis
RNF213,0.00296,deep vein thrombosis
PLPP1,0.00296,deep vein thrombosis
ACSL1,0.00296,deep vein thrombosis
FGF5,0.00296,deep vein thrombosis
STAT5A,0.00296,deep vein thrombosis
MAP3K7,0.00296,deep vein thrombosis
ILF3,0.00296,venous thromboembolism
SERPINB3,0.00296,pulmonary embolism
SNCA,0.00296,venous thromboembolism
SLCO2B1,0.00296,thrombophilia
CRK,0.00296,thrombophilia
TNFRSF4,0.00296,thrombophilia
ADAMTSL3,0.00296,thrombophilia
INF2,0.00296,thrombophilia
TMEM107,0.00296,thrombophilia
HSP90AB1,0.00296,thrombophilia
CRH,0.00296,thrombotic disease
PDIA6,0.00296,thrombotic disease
PRKAA1,0.00296,thrombotic disease
GGCX,0.00296,pulmonary embolism
FCER2,0.00296,pulmonary embolism
WFDC2,0.00296,pulmonary embolism
IGFBP5,0.00294,deep vein thrombosis
OCLN,0.00294,deep vein thrombosis
MYD88,0.00294,deep vein thrombosis
ANO5,0.00294,deep vein thrombosis
S1PR1,0.00294,deep vein thrombosis
ADAMTS2,0.00294,thrombophilia
ADAMTS10,0.00294,thrombophilia
SERPINA5,0.00277,deep vein thrombosis
TRIM51,0.00277,deep vein thrombosis
WTAPP1,0.00277,deep vein thrombosis
ALOX5,0.00277,deep vein thrombosis
APLP2,0.00277,deep vein thrombosis
RIGI,0.00277,deep vein thrombosis
METAP2,0.00277,pulmonary embolism
MCAM,0.00277,thrombophilia
PLK4,0.00277,thrombotic disease
CD27,0.00277,thrombophilia
PPP1CB,0.00277,thrombophilia
CD177,0.00277,thrombophilia
CLOCK,0.00277,thrombophilia
TNFRSF9,0.00277,thrombophilia
GCH1,0.00277,thrombophilia
PLSCR1,0.00277,thrombophilia
DRD2,0.00277,thrombophilia
COX8A,0.00277,venous thromboembolism
F8A1,0.00277,thrombophilia
ACHE,0.00277,thrombophilia
DYM,0.00277,thrombophilia
UPB1,0.00277,thrombophilia
SLC25A20,0.00277,thrombophilia
ERAP1,0.00277,thrombophilia
HEXA,0.00277,thrombophilia
SCP2,0.00277,thrombophilia
NEFH,0.00277,thrombophilia
PTS,0.00277,thrombophilia
FST,0.00277,thrombophilia
EPCAM,0.00277,thrombophilia
PIGR,0.00277,thrombophilia
PTHLH,0.00277,thrombophilia
DNAJC5,0.00277,thrombophilia
MARK3,0.00277,thrombophilia
HLA-DOA,0.00277,thrombophilia
KRT19,0.00277,thrombophilia
THRSP,0.00277,thrombophilia
SCT,0.00277,thrombophilia
SLC2A2,0.00277,thrombophilia
PNPT1,0.00277,thrombophilia
PSMA2,0.00277,thrombophilia
GFER,0.00277,thrombophilia
DPYD,0.00277,thrombophilia
BTG1,0.00277,thrombophilia
TRIM39,0.00277,thrombophilia
BAG3,0.00277,thrombophilia
GNAS,0.00277,thrombophilia
NBAS,0.00277,thrombophilia
WDR62,0.00277,thrombophilia
SI,0.00277,thrombophilia
DIAPH1,0.00277,thrombophilia
IL23R,0.00277,thrombophilia
TRH,0.00277,thrombophilia
INHBA,0.00277,thrombophilia
PCBD1,0.00277,thrombophilia
FUT1,0.00277,thrombophilia
PCNA,0.00277,thrombotic disease
TPM1,0.00277,thrombotic disease
ICAM4,0.00275,deep vein thrombosis
