gene,max_assoc_score,top_disease
GORAB,0.36375,thrombophilia
TRIM48,0.36329,venous thromboembolism
FOLH1,0.36263,venous thromboembolism
HIC1,0.35989,venous thromboembolism
TSKU,0.35827,venous thromboembolism
REEP3,0.35722,venous thromboembolism
IL1RN,0.3567,venous thromboembolism
TLR1,0.35605,deep vein thrombosis
CSTPP1,0.35425,thrombophilia
APOE,0.35383,venous thromboembolism
CLEC4M,0.35304,venous thromboembolism
ZMIZ1,0.35295,venous thromboembolism
SERPINE1,0.35151,venous thromboembolism
ITGB8,0.35067,deep vein thrombosis
PHF21A,0.35063,deep vein thrombosis
TRPC4AP,0.34793,deep vein thrombosis
DPT,0.34742,deep vein thrombosis
PTPRJ,0.34365,deep vein thrombosis
TESPA1,0.34347,deep vein thrombosis
FOSL2,0.34271,deep vein thrombosis
AK5,0.34182,venous thromboembolism
IL2RA,0.33984,deep vein thrombosis
SCYL3,0.33922,deep vein thrombosis
IL13,0.33796,deep vein thrombosis
RCOR1,0.33619,venous thromboembolism
NME7,0.33593,deep vein thrombosis
ARHGAP1,0.33529,pulmonary embolism
PC,0.33509,thrombophilia
SMAD7,0.33488,deep vein thrombosis
HNF4A,0.33293,venous thromboembolism
MT-ND4,0.33262,venous thromboembolism
TSLP,0.33125,deep vein thrombosis
FOXO1,0.33053,deep vein thrombosis
INPP5D,0.3305,deep vein thrombosis
ACVRL1,0.33,deep vein thrombosis
MYO7B,0.32931,venous thromboembolism
IL1RL1,0.32894,deep vein thrombosis
CALCRL,0.32841,venous thromboembolism
STAT6,0.32698,deep vein thrombosis
CDH6,0.32651,venous thromboembolism
FIRRM,0.32639,deep vein thrombosis
PRKCQ,0.32633,deep vein thrombosis
ZBTB16,0.32441,venous thromboembolism
NSUN3,0.32434,deep vein thrombosis
OSMR,0.32372,venous thromboembolism
MAP3K2,0.32206,venous thromboembolism
SELP,0.32173,deep vein thrombosis
ASH2L,0.32019,venous thromboembolism
SLC39A8,0.3201,deep vein thrombosis
CYP24A1,0.31964,deep vein thrombosis
IQSEC1,0.31936,pulmonary embolism
BNC2,0.3187,deep vein thrombosis
ARHGEF3,0.3184,thrombophilia
BACH2,0.31797,deep vein thrombosis
OR4A8,0.31694,venous thromboembolism
SLC19A2,0.31673,deep vein thrombosis
AMBRA1,0.31622,thrombophilia
ABCA6,0.31609,venous thromboembolism
NFATC2,0.31608,deep vein thrombosis
GSAP,0.31606,deep vein thrombosis
ASTN2,0.31592,thrombophilia
SYNE1,0.31446,thrombophilia
NXPE1,0.31425,thrombophilia
ERAP2,0.3131,venous thromboembolism
AFAP1,0.31288,venous thromboembolism
ANO2,0.3125,venous thromboembolism
FCER1G,0.31145,deep vein thrombosis
TNFAIP3,0.31081,deep vein thrombosis
TPH2,0.31051,thrombophilia
ARNT2,0.30955,thrombophilia
MADD,0.30886,venous thromboembolism
JMJD1C,0.3086,venous thromboembolism
ANGPT1,0.30847,venous thromboembolism
IKZF2,0.30789,deep vein thrombosis
EYA2,0.30781,deep vein thrombosis
IQGAP1,0.30746,deep vein thrombosis
SPDL1,0.30702,thrombophilia
SSTR4,0.30685,pulmonary embolism
LIFR,0.30649,venous thromboembolism
IWS1,0.30596,deep vein thrombosis
TRAF3,0.30572,deep vein thrombosis
DCAF6,0.30558,venous thromboembolism
RGS18,0.30478,venous thromboembolism
QSER1,0.30418,venous thromboembolism
NCAM2,0.30367,venous thromboembolism
GGNBP2,0.3027,deep vein thrombosis
TMEM132D,0.30242,pulmonary embolism
SPSB1,0.30215,venous thromboembolism
CD5,0.30166,deep vein thrombosis
IRF1,0.30134,deep vein thrombosis
DHFR2,0.30118,pulmonary embolism
SOX6,0.30083,venous thromboembolism
ZBTB38,0.2999,deep vein thrombosis
PPP1R3B,0.29983,venous thromboembolism
CPNE8,0.29982,venous thromboembolism
PHACTR1,0.29936,thrombophilia
MAGI1,0.29843,pulmonary embolism
GRIK2,0.29713,deep vein thrombosis
LHX8,0.29713,thrombophilia
TNFRSF11A,0.29701,deep vein thrombosis
SELE,0.29625,deep vein thrombosis
MS4A1,0.29562,thrombophilia
FNBP4,0.29531,thrombophilia
TTC17,0.29504,venous thromboembolism
DIP2C,0.29494,thrombophilia
ALOX12,0.29409,venous thromboembolism
STXBP5L,0.29387,venous thromboembolism
SERPINA10,0.29353,venous thromboembolism
ATP9A,0.29318,thrombophilia
CLYBL,0.29308,thrombophilia
ROR1,0.29288,thrombophilia
POLI,0.29212,deep vein thrombosis
AHI1,0.29201,deep vein thrombosis
PAPOLG,0.29103,deep vein thrombosis
PDE4D,0.2906,deep vein thrombosis
LRMDA,0.2906,thrombophilia
SNX20,0.29052,deep vein thrombosis
ZNF366,0.29026,venous thromboembolism
BATF3,0.28987,deep vein thrombosis
FOXA2,0.28948,pulmonary embolism
MS4A6A,0.28936,venous thromboembolism
HGFAC,0.28934,venous thromboembolism
IER2,0.28905,venous thromboembolism
PLCE1,0.28842,venous thromboembolism
TNFAIP8,0.28828,deep vein thrombosis
NFE2,0.28826,deep vein thrombosis
